repetition,randomized_order,workload,format,exposures,outcomes,logical_study_reads,io_threads,total_seconds,io_seconds,estimator_seconds,touch_seconds,source_bytes_read,maximum_rss_bytes,page_faults,page_reclaims,block_input_operations,block_output_operations,physical_staging_bytes_not_timed,staging_seconds_not_timed
4,60,full_load,tsv_full,0,0,1,1,4.036,1.764,0,2.265,,2087550976,33,179711,0,0,201658018,0.622463500010781
5,61,mr_1x1,tsv_gz,1,1,2,1,6.701,6.688,0.00499999999999989,0,,1647755264,33,222879,0,0,403316036,0.7837619580095634
5,62,full_load,pcodec_full,0,0,1,1,3.182,0.846,0,2.329,58020839,2168799232,51,163611,0,0,58033297,0.130910625011893
5,63,mr_1x1,vcf_tabix,1,1,2,1,0.084,0.071,0.005,0,,104448000,45,12855,0,0,457268970,0.8870202499965671
5,64,mr_5x5,vcf_tabix,5,5,10,1,0.332,0.319,0.005,0,,119816192,93,27612,0,0,2286344850,4.407422999996925
5,65,mr_25x25,vcf_tabix,25,25,50,1,1.538,1.524,0.00600000000000001,0,,128811008,333,97142,0,0,11431724250,22.113679500005674
5,66,mr_1x1,pcodec_explicit,1,1,2,1,0.386,0.374,0.005,0,3912390,107429888,65,25397,0,0,116066594,0.2608132919995114
5,67,mr_25x25,pcodec_direct,25,25,50,20,1.305,1.293,0.00299999999999989,0,97809750,275021824,51,33601,0,0,2901664850,6.355405916983727
5,68,mr_25x25,pcodec_explicit,25,25,50,1,7.535,7.521,0.00600000000000023,0,97809750,123518976,737,323295,0,0,2901664850,6.3661057080025785
5,69,mr_5x5,tsv_gz,5,5,10,1,32.746,32.733,0.00500000000000256,0,,1668382720,33,1079420,0,0,2016580180,3.877955000003567
5,70,mr_5x5,pcodec_explicit,5,5,10,1,1.581,1.569,0.004,0,19561950,115163136,177,75346,0,0,580332970,1.30244404199766
5,71,mr_1x1,pcodec_direct,1,1,2,2,0.309,0.297,0.002,0,3912390,96698368,51,19312,0,0,116066594,0.259480667009484
5,72,full_load,tsv_full,0,0,1,1,3.98,1.687,0,2.287,,2084634624,33,179545,0,0,201658018,0.39191087501239963
5,73,mr_5x5,pcodec_direct,5,5,10,10,0.479,0.468,0.003,0,19561950,147062784,51,23567,0,0,580332970,1.2849845000018831
5,74,full_load,vcf_full,0,0,1,1,9.995,7.614,0,2.374,,2013659136,42,170545,0,0,228634485,0.4456969589809887
5,75,mr_25x25,tsv_gz,25,25,50,1,163.466,163.449,0.00900000000001455,0,,1790853120,23879,5244773,0,7,10082900900,19.3580615829851
