"repeat_index","case","snps","max_delta","exact","finite_serial"
2,55,4,0,TRUE,TRUE
2,56,11,0,TRUE,TRUE
2,57,19,0,TRUE,TRUE
2,58,6,0,TRUE,TRUE
2,59,7,0,TRUE,TRUE
2,60,3,0,TRUE,TRUE
2,61,12,0,TRUE,TRUE
2,62,14,0,TRUE,TRUE
2,63,20,0,TRUE,TRUE
2,64,11,0,TRUE,TRUE
2,65,20,0,TRUE,TRUE
2,66,13,0,TRUE,TRUE
2,67,8,0,TRUE,TRUE
2,68,16,0,TRUE,TRUE
2,69,11,0,TRUE,TRUE
2,70,3,0,TRUE,TRUE
2,71,13,0,TRUE,TRUE
2,72,4,0,TRUE,TRUE
2,73,5,0,TRUE,TRUE
2,74,17,0,TRUE,TRUE
2,75,20,0,TRUE,TRUE
2,76,9,0,TRUE,TRUE
2,77,6,0,TRUE,TRUE
2,78,8,0,TRUE,TRUE
2,79,5,0,TRUE,TRUE
2,80,3,0,TRUE,TRUE
2,81,18,0,TRUE,TRUE
2,82,10,0,TRUE,TRUE
2,83,5,0,TRUE,TRUE
2,84,19,0,TRUE,TRUE
2,85,11,0,TRUE,TRUE
2,86,13,0,TRUE,TRUE
2,87,5,0,TRUE,TRUE
2,88,12,0,TRUE,TRUE
2,89,5,0,TRUE,TRUE
2,90,3,0,TRUE,TRUE
2,91,14,0,TRUE,TRUE
2,92,14,0,TRUE,TRUE
2,93,19,0,TRUE,TRUE
2,94,14,0,TRUE,TRUE
2,95,13,0,TRUE,TRUE
2,96,13,0,TRUE,TRUE
2,97,11,0,TRUE,TRUE
2,98,4,0,TRUE,TRUE
2,99,17,0,TRUE,TRUE
2,100,3,0,TRUE,TRUE
3,1,16,0,TRUE,TRUE
3,2,19,0,TRUE,TRUE
3,3,13,0,TRUE,TRUE
3,4,7,0,TRUE,TRUE
3,5,10,0,TRUE,TRUE
3,6,5,0,TRUE,TRUE
3,7,10,0,TRUE,TRUE
3,8,18,0,TRUE,TRUE
3,9,12,0,TRUE,TRUE
3,10,3,0,TRUE,TRUE
3,11,15,0,TRUE,TRUE
3,12,12,0,TRUE,TRUE
3,13,4,0,TRUE,TRUE
3,14,5,0,TRUE,TRUE
3,15,8,0,TRUE,TRUE
3,16,11,0,TRUE,TRUE
3,17,18,0,TRUE,TRUE
3,18,19,0,TRUE,TRUE
3,19,17,0,TRUE,TRUE
3,20,3,0,TRUE,TRUE
3,21,11,0,TRUE,TRUE
3,22,8,0,TRUE,TRUE
3,23,4,0,TRUE,TRUE
3,24,12,0,TRUE,TRUE
3,25,17,0,TRUE,TRUE
3,26,10,0,TRUE,TRUE
3,27,16,0,TRUE,TRUE
3,28,7,0,TRUE,TRUE
3,29,4,0,TRUE,TRUE
3,30,3,0,TRUE,TRUE
3,31,13,0,TRUE,TRUE
3,32,13,0,TRUE,TRUE
3,33,15,0,TRUE,TRUE
3,34,9,0,TRUE,TRUE
3,35,20,0,TRUE,TRUE
3,36,9,0,TRUE,TRUE
3,37,7,0,TRUE,TRUE
3,38,6,0,TRUE,TRUE
3,39,20,0,TRUE,TRUE
3,40,3,0,TRUE,TRUE
3,41,8,0,TRUE,TRUE
3,42,18,0,TRUE,TRUE
3,43,14,0,TRUE,TRUE
3,44,15,0,TRUE,TRUE
3,45,4,0,TRUE,TRUE
3,46,4,0,TRUE,TRUE
3,47,14,0,TRUE,TRUE
3,48,7,0,TRUE,TRUE
3,49,19,0,TRUE,TRUE
3,50,3,0,TRUE,TRUE
3,51,13,0,TRUE,TRUE
3,52,4,0,TRUE,TRUE
3,53,10,0,TRUE,TRUE
3,54,7,0,TRUE,TRUE
3,55,12,0,TRUE,TRUE
3,56,7,0,TRUE,TRUE
3,57,6,0,TRUE,TRUE
3,58,9,0,TRUE,TRUE
3,59,10,0,TRUE,TRUE
3,60,3,0,TRUE,TRUE
3,61,19,0,TRUE,TRUE
3,62,5,0,TRUE,TRUE
3,63,15,0,TRUE,TRUE
3,64,6,0,TRUE,TRUE
3,65,17,0,TRUE,TRUE
3,66,18,0,TRUE,TRUE
3,67,16,0,TRUE,TRUE
3,68,10,0,TRUE,TRUE
3,69,18,0,TRUE,TRUE
3,70,3,0,TRUE,TRUE
3,71,7,0,TRUE,TRUE
3,72,8,0,TRUE,TRUE
3,73,12,0,TRUE,TRUE
3,74,8,0,TRUE,TRUE
3,75,15,0,TRUE,TRUE
3,76,13,0,TRUE,TRUE
3,77,7,0,TRUE,TRUE
3,78,10,0,TRUE,TRUE
3,79,9,0,TRUE,TRUE
3,80,3,0,TRUE,TRUE
3,81,17,0,TRUE,TRUE
3,82,19,0,TRUE,TRUE
3,83,13,0,TRUE,TRUE
3,84,9,0,TRUE,TRUE
3,85,6,0,TRUE,TRUE
3,86,11,0,TRUE,TRUE
3,87,15,0,TRUE,TRUE
3,88,15,0,TRUE,TRUE
3,89,14,0,TRUE,TRUE
3,90,3,0,TRUE,TRUE
3,91,14,0,TRUE,TRUE
3,92,8,0,TRUE,TRUE
3,93,13,0,TRUE,TRUE
3,94,15,0,TRUE,TRUE
3,95,20,0,TRUE,TRUE
3,96,16,0,TRUE,TRUE
3,97,8,0,TRUE,TRUE
3,98,6,0,TRUE,TRUE
3,99,12,0,TRUE,TRUE
3,100,3,0,TRUE,TRUE
