"method_code","pairs","max_abs_beta_difference","max_abs_se_difference","median_abs_se_difference","max_relative_se_difference","max_abs_pval_difference"
"egger",2500,8.67361737988404e-18,3.03576608295941e-18,4.33680868994202e-19,1.00575984549255e-15,9.43689570931383e-16
"ivw",2500,3.46944695195361e-18,2.16840434497101e-18,4.33680868994202e-19,7.80009390027326e-16,8.88178419700125e-16
"simple_mode",2500,2.45463371850718e-16,0.00707752633904206,0.000888644889622384,0.623550099407958,0.0393812793538582
"weighted_median",2500,4.33680868994202e-19,0.000518293677035229,9.27794067890642e-05,0.288620560230354,0.121621234064655
"weighted_mode",2500,2.51968584885631e-16,0.00109228335727674,0.000252052468230285,0.830950302735822,0.262748992084471
