"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta","relative_se_delta"
1,"ivw",-0.068584997541576,0.122358553148448,0.575121562032903,-0.068584997541576,0.122358553148448,0.575121562032904,1.38777878078145e-17,4.16333634234434e-17,1.11022302462516e-16,3.40257075228186e-16
1,"egger",0.0747652352076674,0.184742246158331,0.686777901526523,0.0747652352076674,0.184742246158331,0.686777901526523,0,0,0,0
1,"weighted_median",0.0213984032103163,0.122965186654205,0.861849735183584,0.0213984032103165,0.122965186654205,0.861849735183583,2.42861286636753e-16,4.16333634234434e-17,1.55431223447522e-15,3.38578459125364e-16
1,"simple_mode",0.00507167735738775,0.824480626371404,0.99510708050583,0.00507167735738775,0.824480626371221,0.995107080505829,0,1.83630888273001e-13,9.99200722162641e-16,2.22723108826964e-13
1,"weighted_mode",0.00507167735738775,0.807945127532419,0.995006942765222,0.00507167735738775,0.834691665307147,0.995166936339129,0,0.0267465377747286,0.000159993573907391,0.0320436142906572
2,"ivw",0.056116202616628,0.132047511944845,0.670858701922398,0.0561162026166279,0.132047511944845,0.670858701922398,1.04083408558608e-16,5.55111512312578e-17,4.44089209850063e-16,4.20387710557125e-16
2,"egger",0.115585222774118,0.194262680119804,0.553526441057109,0.115585222774118,0.194262680119804,0.553526441057109,1.52655665885959e-16,8.32667268468867e-17,6.66133814775094e-16,4.28629558675578e-16
2,"weighted_median",-0.0653926362987833,0.117821618013408,0.57888514957116,-0.0653926362987833,0.120023286299429,0.585868442231422,0,0.00220166828602104,0.00698329266026176,0.0183436760807266
2,"simple_mode",0.0675510498801165,0.875346747964604,0.938678119424736,0.0675510498801165,0.850070216916177,0.936858561324532,0,0.0252765310484264,0.00181955810020373,0.029734639027965
2,"weighted_mode",0.0675510498801165,0.849592679722368,0.936823146544891,0.0675510498801165,0.795296178786497,0.932520087733424,0,0.0542965009358705,0.00430305881146631,0.068272050569536
3,"ivw",-0.0125373812691036,0.110659808737147,0.909795404221192,-0.0125373812691035,0.110659808737147,0.909795404221193,1.00613961606655e-16,4.16333634234434e-17,7.7715611723761e-16,3.7622840576506e-16
3,"egger",-0.248785356432441,0.158388518910065,0.120192715993888,-0.248785356432442,0.158388518910065,0.120192715993887,5.55111512312578e-16,2.77555756156289e-17,6.52256026967279e-16,1.75237295017506e-16
3,"weighted_median",0.118714155364996,0.115761690422259,0.305125118018315,0.118714155364997,0.11139244433707,0.286546176268712,1.38777878078145e-17,0.00436924608518982,0.0185789417496032,0.0392238998900916
3,"simple_mode",0.0781361683584871,0.607201555622196,0.897927922295337,0.0781361683584871,0.563070391682111,0.889977885290635,0,0.0441311639400849,0.00795003700470176,0.0783759270457249
3,"weighted_mode",0.0781361683584871,0.561256719531625,0.889624669582323,0.0781361683584871,0.530998257779871,0.883379609059112,0,0.0302584617517542,0.00624506052321128,0.0569841074022846
4,"ivw",0.243562419519363,0.179161166456426,0.174000904476762,0.243562419519363,0.179161166456426,0.174000904476762,1.11022302462516e-16,8.32667268468867e-17,5.55111512312578e-17,4.6475878949548e-16
