"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta"
1,"egger",-0.0737968541059142,0.105037841198207,0.482731990366106,-0.0737968541059142,0.105037841198207,0.482731990366107,4.16333634234434e-17,4.16333634234434e-17,3.33066907387547e-16
1,"ivw",-0.0178236641545456,0.0692343089367485,0.796839309764544,-0.0178236641545456,0.0692343089367485,0.796839309764544,1.04083408558608e-17,0,0
1,"simple_mode",0.55335252745741,65.1204431600198,0.993224407813288,0.55335252745741,65.1204431600198,0.993224407813288,0,0,0
1,"weighted_median",0.0988635202767964,0.070399351320041,0.16022229923015,0.0988635202767967,0.070399351320041,0.160222299230149,2.77555756156289e-16,2.77555756156289e-17,9.99200722162641e-16
1,"weighted_mode",0.55335252745741,65.1204431600198,0.993224407813288,0.55335252745741,56.1703871880638,0.992144833666335,0,8.95005597195608,0.00107957414695325
10,"egger",-0.167681905786155,0.0909810674271924,0.0660663346130418,-0.167681905786155,0.0909810674271924,0.0660663346130417,8.32667268468867e-17,1.38777878078145e-17,9.71445146547012e-17
10,"ivw",-0.119997378165369,0.0633257401826722,0.058102652535576,-0.119997378165369,0.0633257401826723,0.0581026525355759,1.80411241501588e-16,5.55111512312578e-17,1.38777878078145e-16
10,"simple_mode",0.359542495037573,41.7543932686412,0.993133892202173,0.359542495037573,54.9023655386607,0.994778154641442,0,13.1479722700195,0.00164426243926885
10,"weighted_median",-0.132924088899058,0.0567901037600963,0.0192517176520537,-0.132924088899058,0.0510565600056451,0.00922860471599065,0,0.00573354375445116,0.0100231129360631
10,"weighted_mode",0.359542495037573,41.7543932686412,0.993133892202173,0.359542495037573,48.9937421590098,0.994148413151311,0,7.23934889036861,0.00101452094913757
100,"egger",0.17041478037743,0.073927071941212,0.0216705095194493,0.17041478037743,0.073927071941212,0.0216705095194493,1.38777878078145e-16,5.55111512312578e-17,0
100,"ivw",0.111409784917994,0.0547121213634569,0.0417211712911531,0.111409784917994,0.0547121213634569,0.0417211712911531,9.71445146547012e-17,3.46944695195361e-17,8.32667268468867e-17
100,"simple_mode",-0.0600616873804349,20.7567276358553,0.997692689819265,-0.0600616873804349,12.530671568969,0.996178010740506,0,8.22605606688634,0.0015146790787588
100,"weighted_median",0.114900275109249,0.0409907921362452,0.00506178567904295,0.114900275109249,0.041754073335637,0.00592625680538624,0,0.000763281199391716,0.00086447112634329
