"method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta"
"egger",0.321465881393946,0.143100415725105,0.0272379257814903,0.321465881393945,0.143100415725105,0.0272379257814908,1.11022302462516e-15,8.32667268468867e-17,4.71844785465692e-16
"ivw",0.576773171275927,0.0797525166720386,4.75801643315222e-13,0.576773171275927,0.0797525166720386,4.75801643315237e-13,1.11022302462516e-16,5.55111512312578e-17,1.55500261637166e-26
"simple_mode",1.11931035818595,0.0798867334869353,5.05671374339851e-24,1.11931035818595,0.110630206168966,2.32783158785223e-16,0,0.0307434726820306,2.3278315372851e-16
"weighted_median",0.431822086963911,0.0271597203990612,6.40185925119683e-57,0.431822086963911,0.0256669157046418,1.62584041690548e-63,0,0.0014928046944194,6.40185762535642e-57
"weighted_mode",0.420699274022374,0.0188082384647591,7.72604465276706e-38,0.420699274022374,0.0175640772940279,4.56512708981989e-40,0,0.00124416117073126,7.68039338186887e-38
